,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,7,7,demande,request
8,8,8,genre,kind
9,9,9,mois,month
10,10,10,frère,brother
11,11,11,laisser,let
12,13,13,mettre,to put
13,14,14,aucun,no
14,15,15,laisse,leash
15,16,16,eux,them
16,17,17,ville,city
17,18,18,chaque,each
18,19,19,parlé,speak
19,20,21,devrait,should
20,21,22,bébé,baby
21,22,23,longtemps,long time
22,23,24,heures,hours
23,24,25,vont,will
24,25,26,pendant,while
25,26,27,revoir,meet again
26,27,29,place,square
27,28,30,parle,speak
28,29,31,compris,understood
29,30,32,savais,knew
30,31,33,étaient,were
31,32,34,attention,Warning
32,33,35,voici,here is
33,34,36,pourrais,could
34,35,37,affaire,case
35,36,38,donner,give
36,37,39,type,type
37,38,40,leurs,their
38,39,41,donné,given
39,40,42,train,train
40,41,43,corps,body
41,42,44,endroit,place
42,43,45,yeux,eyes
43,44,46,façon,way
44,45,48,dont,whose
45,46,49,trouve,find
46,47,50,premier,first
47,48,51,perdu,lost
48,49,52,main,hand
49,50,53,première,first
50,51,54,côté,side
51,52,55,pouvoir,power
52,53,56,vieux,old
53,54,57,sois,be
54,55,58,tiens,here
55,56,59,matin,morning
56,57,60,tellement,so much
57,58,61,enfant,child
58,59,62,point,point
59,60,63,venu,came
60,61,64,suite,after
61,62,65,pardon,sorry
62,63,66,venez,come
63,64,67,devant,in front of
64,65,69,minutes,minutes
65,66,70,demandé,request
66,67,71,chambre,bedroom
67,68,72,mis,placed
68,69,73,belle,beautiful
69,70,74,droit,law
70,71,75,aimerais,would like to
71,72,76,aujourd'hui,today
72,73,77,mari,husband
73,74,78,cause,cause
74,75,79,enfin,finally
75,76,80,espère,hope
76,77,81,eau,water
77,78,82,attendez,Wait
78,79,83,parti,left
79,80,84,nouvelle,new
80,81,85,boulot,job
81,82,86,arrêter,Stop
82,83,87,dirait,would say
83,84,88,terre,Earth
84,85,89,compte,account
85,86,90,donne,given
86,87,91,loin,far
87,88,92,fin,end
88,89,93,croire,believe
89,90,94,chérie,sweetheart
90,91,95,gros,large
91,92,96,plutôt,rather
92,93,97,aura,will have
93,94,98,filles,girls
94,95,99,jouer,to play
95,96,100,bureau,office
